,symbol
1426,PIO
1427,PSCT
1428,PDN
1429,SPVU
1430,XSVM
1431,PSCH
1432,PSCF
1433,PXJ
1434,IPKW
1435,USLB
1436,PIN
1437,PBE
1438,EMTY
1439,XSMO
1440,PEZ
1441,DWTR
1442,PICB
1443,SPVM
1444,PXQ
1445,KBWR
1446,IDLB
1447,PSCU
1448,PXI
1449,PBJ
1450,PBS
1451,PRN
1452,PBND
1453,ADRE
1454,XMHQ
1455,PEJ
1456,PSCI
1457,LDRI
1458,PSCM
1459,EEMO
1460,XMVM
1461,DBS
1462,EQWL
1463,PYZ
1464,PBUS
1465,PWC
1466,DWAQ
1467,PMR
1468,PSCD
1469,ADRA
1470,XSHQ
1471,IDHD
1472,PBDM
1473,PBSM
1474,IDMO
1475,PBEE
1476,DAG
1477,DTO
1478,AGF
1479,BDD
1480,BOM
1481,BOS
1482,ADRU
1483,OLO
1484,DYY
1485,DDP
1486,DBV
1487,DGZ
1488,PBTP
1489,PSCC
1490,SZOXF
1491,GENY
1492,YLD
1493,PY
1494,BTEC
1495,PDEV
1496,PLC
1497,PSM
1498,UFO
1499,TQQQ
1500,SQQQ
1501,UVXY
1502,SDS
1503,SPXU
1504,SH
1505,TBT
1506,SCO
1507,UPRO
1508,VIXY
1509,QID
1510,UCO
1511,PSQ
1512,SVXY
1513,OILU
1514,SDOW
1515,TBF
1516,SSO
1517,OILD
1518,TWM
1519,BOIL
1520,DXD
1521,QLD
1522,SRTY
1523,UDOW
1524,DOG
1525,RWM
1526,DDM
1527,AGQ
1528,NOBL
1529,URTY
1530,DIG
1531,UWM
1532,BZQ
1533,BIB
1534,EUM
1535,SMDV
1536,UGL
1537,KOLD
1538,TTT
1539,ZSL
1540,MVV
1541,GLL
1542,SJB
1543,UYG
1544,USD
1545,ROM
1546,URE
1547,DUG
1548,VIXM
1549,REGL
1550,CSM
1551,BIS
1552,IGHG
1553,FXP
1554,EUO
1555,UYM
1556,SRS
1557,UBIO
1558,UPV
1559,FINZ
1560,EFAD
1561,UPW
1562,SIJ
1563,SKF
1564,EEV
1565,OILK
1566,REW
1567,ONLN
1568,XPP
1569,SMDD
1570,MZZ
1571,SMN
1572,SPXB
1573,FINU
1574,ULE
1575,SDP
1576,PST
1577,RXL
1578,TOLZ
1579,EFZ
1580,YCS
1581,SEF
1582,HDG
1583,YXI
1584,UBT
1585,SSG
1586,UST
1587,REK
1588,RINF
1589,EPV
1590,PAWZ
1591,HYHG
1592,EET
1593,EWV
1594,YCL
1595,UBR
1596,ZBIO
